# Five-layer constrained QWP binary structure
# shape = (11, 11, 31); axis order = (x, y, z); C-order
# columns = x index; rows = y index; values: 0=air, 1=TiO2
# each block equals structure[:, :, z_index].T
# z_index = 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 0 1 1 1 0
0 0 1 1 1 1 0 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 0 0 0 1 0 0 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 0 1 0 1 0 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 0 0 0 0 0 0 0 0
0 0 1 1 1 1 1 1 1 1 0

# z_index = 1
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 0 1 1 1 0
0 0 1 1 1 1 0 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 0 0 0 1 0 0 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 0 1 0 1 0 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 0 0 0 0 0 0 0 0
0 0 1 1 1 1 1 1 1 1 0

# z_index = 2
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 0 1 1 1 0
0 0 1 1 1 1 0 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 0 0 0 1 0 0 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 0 1 0 1 0 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 0 0 0 0 0 0 0 0
0 0 1 1 1 1 1 1 1 1 0

# z_index = 3
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 0 1 1 1 0
0 0 1 1 1 1 0 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 0 0 0 1 0 0 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 0 1 0 1 0 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 0 0 0 0 0 0 0 0
0 0 1 1 1 1 1 1 1 1 0

# z_index = 4
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 0 1 1 1 0
0 0 1 1 1 1 0 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 0 0 0 1 0 0 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 0 1 0 1 0 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 0 0 0 0 0 0 0 0
0 0 1 1 1 1 1 1 1 1 0

# z_index = 5
0 1 1 1 1 1 1 1 1 1 0
0 1 1 1 1 1 1 1 1 1 0
0 1 1 1 1 1 1 1 1 1 0
0 1 1 1 1 1 1 1 1 1 0
0 1 1 1 1 1 1 1 1 1 0
0 1 1 1 1 1 1 1 1 1 0
0 1 1 1 1 1 1 1 1 1 0
0 1 1 1 1 1 1 1 1 1 0
0 1 1 1 1 1 1 1 1 1 0
0 1 1 1 1 1 1 1 1 1 0
0 1 1 1 1 1 1 1 1 1 0

# z_index = 6
0 1 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 1 1 1 1 1 1 1 1 1 0

# z_index = 7
0 1 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 0 1 1 1 1 1 1 1 1 0
0 1 1 1 1 1 1 1 1 1 0

# z_index = 8
0 1 1 1 1 1 1 1 1 1 0
