global_iteration,normalized_FOM,stage,eval,beta,J_mean,grad_norm,step_norm,delta_J,T_avg,Noise_avg,F_avg,F_min,PhaseAbsAvg_deg
1,0.464506418918,beta1.0,1,1.0,-2.302012152067903,0.04545088221158405,0.0,0.0,0.8790310024946879,0.5000001497966334,2.3020121520681127,1.9085488399919317,90.00001716542964
2,0.464599129002,beta1.0,2,1.0,-2.3024716069487705,0.045448986494290744,0.011344728901682147,-0.0004594548808674048,0.8792117887193068,0.4999725450145117,2.30247160694898,1.9091428065141778,89.99685389040798
3,0.465511476426,beta1.0,3,1.0,-2.3069930403920655,0.04543597335262526,0.11186616157159168,-0.004521433443295031,0.8809864072764175,0.4996983664120179,2.306993040392275,1.9150220672113891,89.96543533462372
4,0.476523999331,beta1.0,4,1.0,-2.361569167909956,0.04613220416415191,1.3963871518339053,-0.05457612751789043,0.9015835535130702,0.495924455267065,2.3615691679101705,1.9914493276391467,89.53297141290491
5,0.549879209589,beta1.0,5,1.0,-2.7251046941225976,0.09259706891564634,9.60477680552285,-0.3635355262126416,0.9312348315715973,0.410480394560493,2.725104694122845,2.5795832821804785,79.68470831447316
6,0.751111545819,beta1.0,6,1.0,-3.722376775895927,0.1688232270526721,22.431687987720185,-0.9972720817733296,0.5725045442448645,0.04943910460927826,3.7223767758962656,3.0420062548062248,18.629640047977265
7,0.796029703639,beta1.0,7,1.0,-3.9449832694524236,0.16657952807662743,25.604491153133846,-0.22260649355649642,0.6769698051546568,0.03028470375180915,3.9449832694527824,3.714470326560789,18.925130507807886
8,0.866258017721,beta1.0,8,1.0,-4.293022447926289,0.11501121358506798,20.830958188542468,-0.348039178473865,0.7833687615623688,0.021819109769905864,4.2930224479266785,4.119829047968693,13.081094487382328
9,0.482528973814,beta1.0,9,1.0,-2.3913287657748956,0.05555263138238149,25.973072064548816,1.901693682151393,0.8948730318030599,0.48374955100307626,2.3913287657751128,2.0920121261180267,88.13735937043515
10,0.644610353324,beta1.0,10,1.0,-3.1945755887695304,0.07414651211734742,15.701081555355383,-0.8032468229946348,0.8068645434086595,0.22097882891739723,3.194575588769821,2.6612853775070606,55.88173569235264
11,0.868377533276,beta1.0,11,1.0,-4.303526394408244,0.09869847790946465,8.227466240203713,-1.1089508056387132,0.7723638348397484,0.01677678709700612,4.303526394408635,3.854109861949231,11.865405801234846
12,0.907515861898,beta1.0,12,1.0,-4.497489070553023,0.05961967834159072,1.1820735788957877,-0.19396267614477924,0.8067297716432297,0.007764192042842763,4.497489070553431,4.20502959623403,6.328096187539173
13,0.936435581547,beta1.0,13,1.0,-4.640810117055126,0.040337740673587044,1.6620160830332817,-0.14332104650210287,0.8563596046365928,0.005458558283664413,4.640810117055548,4.485599270645524,4.3210576605712765
14,0.888879186681,beta1.0,14,1.0,-4.405128984500369,0.09743434363904331,7.652094743901524,0.23568113255475698,0.9247109674578149,0.032620213374924704,4.405128984500769,4.311892531120654,20.422965630691458
15,0.944588258863,beta1.0,15,1.0,-4.681213352593766,0.09091209881077483,6.159145413652551,-0.27608436809339754,0.8865441768776574,0.005303613953324682,4.681213352594192,4.515340743921767,5.379431225210438
16,0.827420778744,beta1.0,16,1.0,-4.1005519191345545,0.14682959849906624,8.1777948606271,0.5806614334592117,0.9327662524069786,0.08247954048653634,4.100551919134928,3.791244779933675,32.64840853648109
17,0.917640472021,beta1.0,17,1.0,-4.547664858416416,0.1132503555610691,6.021061797125327,-0.4471129392818618,0.8903545633153265,0.014386629555461793,4.547664858416829,4.326273485073827,11.607561750863102
18,0.951042855332,beta1.0,18,1.0,-4.71320119797777,0.042769816227742154,2.391085200022446,-0.1655363395613536,0.8877173006065828,0.004150119940426517,4.713201197978199,4.581543739516371,3.8830051102332535
19,0.965664258292,beta1.0,19,1.0,-4.785662300609626,0.024911143068456147,2.1460466731323393,-0.07246110263185646,0.9227840217822951,0.002876318545545729,4.785662300610062,4.59303312753168,3.8726266575666632
20,0.739013449645,beta1.0,20,1.0,-3.662420738098153,0.09926302165926609,12.580025659645163,1.1232415625114736,0.9454803115915312,0.17502000342358828,3.662420738098486,3.5502214279504773,49.367697262784304
21,0.942817297000,beta2.0,1,2.0,-4.67243677693369,0.07360260999119249,0.0,0.0,0.9114473532928021,0.00809444727574813,4.672436776934115,4.431572255967244,7.9998035373277085
22,0.943369469176,beta2.0,2,2.0,-4.675173245168845,0.07289535256260936,0.01835045510233941,-0.002736468235155165,0.9115242040779177,0.00794463994236068,4.67517324516927,4.4346063006616365,7.875657863693959
23,0.948395978841,beta2.0,3,2.0,-4.700083743411195,0.06332854964614652,0.17773679785054594,-0.02491049824234981,0.9122854367715333,0.006610460269048132,4.700083743411622,4.464044070629912,6.684583665654765
24,0.953490719729,beta2.0,4,2.0,-4.725332383597305,0.06397460918401725,1.8580930180974733,-0.02524864018610984,0.9225354038709598,0.005437089230850552,4.725332383597735,4.546201728963524,6.750485996516101
25,0.967273429698,beta2.0,5,2.0,-4.793637071204637,0.01963370297696351,1.072899543067698,-0.06830468760733233,0.9292721428248913,0.0027905144618827708,4.793637071205073,4.620539806550168,4.234468129271087
26,0.936579541198,beta2.0,6,2.0,-4.64152355577932,0.0768611249369814,3.6883127133995077,0.15211351542531748,0.9547493017311239,0.014288554797729735,4.641523555779742,4.518903592533707,13.247235524255002
27,0.971559338158,beta2.0,7,2.0,-4.81487728007402,0.016472704371706143,3.1507420044028134,-0.1733537242947003,0.9362054902764728,0.0023172242878324715,4.814877280074458,4.67985511285809,3.743189917712933
