lambda_nm,T_percent,T45_percent,overlap_p45_percent,overlap_m45_percent,overlap_0_percent,overlap_90_percent,overlap_R_percent,overlap_L_percent,delta_deg,retardance_deg,retardance_deg_plus90,phi_in,phi_out_est,phi_out_field,phi_out_flux
500.000000,95.685156,95.681722,99.996411,0.003589,50.391633,49.608367,50.453361,49.546639,0.519537,0.519537,90.519537,4.458490023273e+02,4.266113135579e+02,4.266113135579e+02,4.266113135579e+02
501.000000,96.017560,96.014408,99.996717,0.003283,50.296499,49.703501,50.490241,49.509759,0.561794,0.561794,90.561794,4.476508589356e+02,4.298234328520e+02,4.298234328520e+02,4.298234328520e+02
502.000000,96.330734,96.327821,99.996976,0.003024,50.204670,49.795330,50.510366,49.489634,0.584851,0.584851,90.584851,4.494564253989e+02,4.329646733171e+02,4.329646733171e+02,4.329646733171e+02
503.000000,96.624146,96.621448,99.997208,0.002792,50.118132,49.881868,50.514989,49.485011,0.590146,0.590146,90.590146,4.512655862006e+02,4.360315169084e+02,4.360315169084e+02,4.360315169084e+02
504.000000,96.897528,96.895037,99.997429,0.002571,50.038601,49.961399,50.505553,49.494447,0.579331,0.579331,90.579331,4.530782543131e+02,4.390216293786e+02,4.390216293786e+02,4.390216293786e+02
505.000000,97.150504,97.148221,99.997650,0.002350,49.967501,50.032499,50.483696,49.516304,0.554284,0.554284,90.554284,4.548945538883e+02,4.419323522696e+02,4.419323522696e+02,4.419323522696e+02
506.000000,97.383183,97.381115,99.997876,0.002124,49.905975,50.094025,50.451146,49.548854,0.516983,0.516983,90.516983,4.567145757301e+02,4.447631915040e+02,4.447631915040e+02,4.447631915040e+02
507.000000,97.595492,97.593648,99.998110,0.001890,49.854875,50.145125,50.409741,49.590259,0.469535,0.469535,90.469535,4.585380020208e+02,4.475124182306e+02,4.475124182306e+02,4.475124182306e+02
508.000000,97.787822,97.786210,99.998351,0.001649,49.814748,50.185252,50.361322,49.638678,0.414052,0.414052,90.414052,4.603652059528e+02,4.501811104366e+02,4.501811104366e+02,4.501811104366e+02
509.000000,97.960497,97.959120,99.998594,0.001406,49.785873,50.214127,50.307737,49.692263,0.352646,0.352646,90.352646,4.621959786022e+02,4.527694793467e+02,4.527694793467e+02,4.527694793467e+02
510.000000,98.114127,98.112983,99.998834,0.001166,49.768263,50.231737,50.250776,49.749224,0.287373,0.287373,90.287373,4.640302957401e+02,4.552792715724e+02,4.552792715724e+02,4.552792715724e+02
511.000000,98.249504,98.248584,99.999063,0.000937,49.761678,50.238322,50.192152,49.807848,0.220193,0.220193,90.220193,4.658681812158e+02,4.577131791547e+02,4.577131791547e+02,4.577131791547e+02
512.000000,98.367302,98.366587,99.999273,0.000727,49.765664,50.234336,50.133466,49.866534,0.152942,0.152942,90.152942,4.677096285389e+02,4.600733446589e+02,4.600733446589e+02,4.600733446589e+02
