lambda_nm,t_xx_real,t_xx_imag,t_xy_real,t_xy_imag,t_yx_real,t_yx_imag,t_yy_real,t_yy_imag,abs_txx_sq,abs_txy_sq,abs_tyx_sq,abs_tyy_sq,phase_txx_rad,phase_tyy_rad,retardance_deg,qwp_error_deg,T_x,T_y
500.000000,-8.902723034106e-01,-4.071681827357e-01,1.531000337107e-02,3.785736019863e-03,8.425473670096e-03,-1.117261771815e-02,4.159677692658e-01,-8.841584992250e-01,9.583707032523e-01,2.487280004342e-04,1.958159932415e-04,9.547654368198e-01,-2.712641310257e+00,-1.131052658517e+00,90.618355,0.618355,9.585664345260e-01,9.550140880878e-01
501.000000,-9.050128923855e-01,-3.753031939729e-01,1.518553461735e-02,3.132889500838e-03,8.009625062154e-03,-1.162642910847e-02,3.853254069164e-01,-9.007083059421e-01,9.599008227901e-01,2.404154582393e-04,1.993279474507e-04,9.597511216084e-01,-2.748483772097e+00,-1.166554200257e+00,90.637888,0.637888,9.601001080858e-01,9.599914618489e-01
502.000000,-9.184336229592e-01,-3.432184503682e-01,1.503843879541e-02,2.517206392302e-03,7.556173370050e-03,-1.205137896315e-02,3.540344553119e-01,-9.160412268398e-01,9.613192244552e-01,2.324909694247e-04,2.023314909116e-04,9.644719248181e-01,-2.783962382030e+00,-1.201996479402e+00,90.639970,0.639970,9.615214592544e-01,9.647043302382e-01
503.000000,-9.305650661373e-01,-3.109730565888e-01,1.487363801382e-02,1.937647327266e-03,7.069363198628e-03,-1.244348220589e-02,3.221585678490e-01,-9.301080700600e-01,9.626555842393e-01,2.249795849309e-04,2.048161454424e-04,9.688871648293e-01,-2.819083364135e+00,-1.237361859211e+00,90.625967,0.625967,9.628604064857e-01,9.691120591880e-01
504.000000,-9.414415791778e-01,-2.786157923060e-01,1.469558811558e-02,1.392535755277e-03,6.553787729508e-03,-1.279949470936e-02,2.897680263941e-01,-9.428655251927e-01,9.639390067272e-01,2.178994658924e-04,2.067791984183e-04,9.729609077172e-01,-2.853859337959e+00,-1.272631149634e+00,90.597702,0.597702,9.641457200380e-01,9.731787145550e-01
505.000000,-9.510946564435e-01,-2.461938167481e-01,1.450822419396e-02,8.798812412284e-04,6.014353341045e-03,-1.311703153128e-02,2.569403119772e-01,-9.542789811228e-01,9.651924409204e-01,2.112627602607e-04,2.082289623035e-04,9.766666977318e-01,-2.888299157230e+00,-1.307782983817e+00,90.556906,0.556906,9.654006696467e-01,9.768778869142e-01
506.000000,-9.595583509718e-01,-2.137452447052e-01,1.431480590824e-02,3.972696138441e-04,5.455991810048e-03,-1.339435864668e-02,2.237560914267e-01,-9.643212849814e-01,9.664392585538e-01,2.050714913367e-04,2.091766901872e-04,9.799823291187e-01,-2.922417226546e+00,-1.342796237623e+00,90.505616,0.505616,9.666484095783e-01,9.801872990015e-01
507.000000,-9.668609048478e-01,-1.813052262218e-01,1.411815507697e-02,-5.781558776747e-05,4.883824502746e-03,-1.363065349080e-02,1.903010246887e-01,-9.729745144854e-01,9.676915943785e-01,1.993256454195e-04,2.096464563600e-04,9.828938858356e-01,-2.956225913109e+00,-1.377647755016e+00,90.445866,0.445866,9.679012113234e-01,9.830931323569e-01
508.000000,-9.730330108882e-01,-1.489055822571e-01,1.392041859490e-02,-4.881120603061e-04,4.302642623907e-03,-1.382574155357e-02,1.566611414259e-01,-9.802307689995e-01,9.689661127055e-01,1.940163072408e-04,2.096638630552e-04,9.853950737262e-01,-2.989738355643e+00,-1.412315920090e+00,90.379648,0.379648,9.691757967299e-01,9.855889877991e-01
509.000000,-9.780996298695e-01,-1.165722933811e-01,1.372325967284e-02,-8.963768465840e-04,3.717157254874e-03,-1.398015787953e-02,1.229235547208e-01,-9.860905208486e-01,9.702679855350e-01,1.891313474992e-04,2.092620723940e-04,9.874847156127e-01,-3.022969766737e+00,-1.446778601568e+00,90.309101,0.309101,9.704772163649e-01,9.876737642447e-01
